Country;State/Province;Name;OSMID;Code;Latitude;Longitude
;;;;;0;0
;;;;;0;0
Colombia;Caquetá;2km abajo quebrada las Doraditas;;;1,71083333333;-75,7088888889
French Guiana;Cayenne;6.8km towards Degrad Saramaka,;;36;5,082;-52,693
Peru;San Martín;6km to Michela Batista;;;-5,9442;-76,2445
;;Aberdeenshire;;;0;0
Panamá;Colón;Achiote Road,;;43;9,218;-79,979
Colombia;Cauca;Acueducto, Isla Gorgona;;;2,96426666667;-78,17695
Peru;Rioja;Afluente;;;-5,65464;-77,69375
Peru;Rioja;Afluente_gurania basse_325;;;-5,66023;-77,69575
Suriname;Brokopondo;Afobaka Resort, Brokopondo, Suriname;;;4,9878;-54,9887
Panamá;Colón;Aguas Claras, nr. Santa Rosa. Boundary of Soberania NP,;;44;9,1911;-79,7117
Peru;Rioja;Aguas verdes;;;-5,68156;-77,66219
Ecuador;Napo;Ahuano;;;-1,098333;-77,583889
Ecuador;Napo;Ahuano 1;;;-1,02978;-77,52612
Ecuador;Santo Domingo de los Tsachilas;Alluriquin;;45;-0,3197;-79,337
Colombia;Cauca Valley;Alto los Cedros,;;46;3,843;-76,551
Ecuador;Napo;Alto Tena;;;-0,94643;-77,86638
Colombia;Choco;Amargal 1;;;5,57187;-77,50211
Colombia;Choco;Amargal 2;;;5,56885;-77,50351
Colombia;Choco;Amargal Station;;;5,57339;-77,50175
Colombia;Cauca;Amargal, Aruzí;;;5,5716;-77,5017166667
;;Amazonas;;;0;0
Panamá;Darién;Anamar Lodge;;;7,51563;-78,16447
Ecuador;Orellana;Anangu Boca del Rio ECD OR;;230;-0,5287;-76,3948
Ecuador;Orellana;Anangu Rio ECD OR;;231;-0,525;-76,4167
;;Andalucia;;;0;0
Bolivia;Santa Cruz;Angostura;;312;-18,158333;-63,508611
;;Antananarivo Province;;;0;0
Peru;San Martín;Antena_B1;;;-6,45716;-76,29858
Peru;San Martín;Antena_B2;;;-6,45474;-76,29944
Peru;San Martín;Antena_chacra;;;-6,45401;-76,30023
Peru;San Martín;Antena_haut;;;-6,45148;-76,29774
Peru;San Martín;Antena_piña;;;-6,4519;-76,29846
Peru;San Martín;Antena_right;;;-6,4537;-76,29807
Ecuador;Pastaza;Antenas del Calvario;;255;-1,511616667;-77,9114
;;Antioquia;;;0;0
Madagascar;Antananarivo Province;Antsirabe;;;-19,854972;47,040882
Ecuador;Napo;Apuya Km2.7;;256;-1,115566667;-77,77833333
Ecuador;Napo;Apuya km4;;;-1,121102;-77,764613
;;Argentina;;;0;0
Colombia;Cauca Valley;Atuncela,;;48;3,7338;-76,6856
;;Australia;;;0;0
