TaxonomicName;Country;Locality;Dataset;Brood;Latitude;Longitude;Eclosion Date;Collection;CoordAccuracy;CoordinateUncertaintyInMeters;InfraspecificEpithet
Unknown;Ecuador;Vía Arajuno Km58.4;Patricio Salazar;;-1,250966667;-77,69885;;;;0;
Unknown;Panamá;Gamboa_insectaries;Panama2015;?;9,12;-79,702;24/07/2015;;;0;
Unknown;Suriname;Cultuurtuin, Paramaribo, Suriname;Heliconiine Butterfly Collection Records from University of Cambridge;;5,8399;-55,1596;;;;0;
Unknown;Panamá;Gamboa_insectaries;Panama2015;?;9,12;-79,702;24/07/2015;;;0;
Unknown;Suriname;Bakhuis-Nickerie Rd, Sipaliwini, Suriname;Heliconiine Butterfly Collection Records from University of Cambridge;;4,72;-56,81;;;;0;
Unknown;Panamá;Gamboa_insectaries;Panama2015;?;9,12;-79,702;24/07/2015;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;;Cerro Campana,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6874;-79,9197;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea tarricina;Panamá;Quebrada Hornito Trail, Fortuna,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6928;-82,2245;;;;0;
Tithorea harmonia ssp. manabiana;Ecuador;Nanegal to Marianita;Heliconiine Butterfly Collection Records from University of Cambridge;;0,135;-78,66544;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Napo Wildlife Center  napo trail ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5097;-76,4368;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia ssp. hermias;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Tithorea harmonia;Ecuador;El Capricho Km 5.7;;;0;0;;;;0;
Tithorea harmonia;Ecuador;El Capricho Km 5.7;;;0;0;;;;0;
Tithorea harmonia;Ecuador;Río Pusuno;;;0;0;;;;0;
Tithorea harmonia;Ecuador;Río Pusuno;;;0;0;;;;0;
Tithorea harmonia;Ecuador;Río Pusuno;;;0;0;;;;0;
Tithorea harmonia;Ecuador;Río Pusuno;;;0;0;;;;0;
Tithorea harmonia;Ecuador;Río Pusuno;;;0;0;;;;0;
Tithorea harmonia;Panamá;Pipeline road 3 km,;Heliconiine Butterfly Collection Records from University of Cambridge;;0;0;;;;0;
Tithorea harmonia;Ecuador;Ikiam Mariposario;;;0;0;;;;0;
Tithorea harmonia;Panamá;Pipeline road 3 km,;Heliconiine Butterfly Collection Records from University of Cambridge;;0;0;;;;0;
Thyridia psidii ssp. ino;Ecuador;Anangu Boca del Rio ECD OR;Heliconiine Butterfly Collection Records from University of Cambridge;;-0,5287;-76,3948;;;;0;
Thyridia psidii;Ecuador;Mina Negra;;;0;0;;;;0;
Tegosa sp.;;Cerro Campana,;Heliconiine Butterfly Collection Records from University of Cambridge;;8,6874;-79,9197;;;;0;
