fullname;correction
dryas iulia ;Dryas iulia
Eueides isabella arquata;Eueides isabella huebneri
Eueides isabella dynastes;Eueides isabella huebneri
Eueides lampata ;Eueides lampeto 
Eueides lampeto carbo;Eueides lampeto acacetes
eueides lybia ;Eueides lybia 
Eueides vibilia mereaui;Eueides vibilia vibilia
Heliconius  ;Heliconius sp
Heliconius aoede phillipi;Heliconius aoede philipi
Heliconius chestertonii ;Heliconius erato chestertonii
Heliconius demeter angeli;Heliconius demeter demeter
Heliconius demeter terrasanta ;Heliconius demeter terrasanta
Heliconius erato luscomebi;Heliconius erato luscombei
Heliconius erato luscumbei;Heliconius erato luscombei
Heliconius erato petiverana;Heliconius erato demophoon
Heliconius godmani ;Heliconius godmani
Heliconius hecale  latus;Heliconius hecale latus
Heliconius hecale  paraensis;Heliconius hecale paraensis
Heliconius hecale  vetustus;Heliconius hecale vetustus
Heliconius hecale alexander;Heliconius hecale humboldti
Heliconius isabella ;Eueides isabella
Heliconius melpomene pyforus;Heliconius melpomene pyrforus
Heliconius metis ;Heliconius metis
Heliconius numata aristiana;Heliconius numata aristiona
Heliconius numata timeus;Heliconius numata timaeus
Heliconius pardalinus maon;Heliconius pardalinus maeon
Heliconius timareta Florencia;Heliconius timareta florencia
Philaethria  ;Philaethria sp 
Philaethria pygmalion ;Philaethria wernickei 
