"";"tribe";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC_simul";"p_value";"Signif"
"1";"HELICONIINI";"AGRAULIS.HELICO";5;10;0,837;0,887;0,204;NA
"2";"HELICONIINI";"DRYAS.HELICO";5;10;0,503;0,891;0,004;"**"
"3";"HELICONIINI";"EUEIDES.HELICO";4;6;0,889;0,89;0,405;NA
"4";"HELICONIINI";"DENNIS.RAY.HELICO";18;153;0,719;0,891;0,001;"***"
"5";"HELICONIINI";"HERMIAS.HELICO";6;15;0,724;0,892;0,018;"*"
"6";"HELICONIINI";"MANTINEUS.HELICO";3;3;0,71;0,891;0,073;NA
"7";"HELICONIINI";"ORESTES.HELICO";5;10;0,652;0,893;0,007;"**"
"8";"HELICONIINI";"BENGAL.HELICO";6;15;0,768;0,89;0,054;NA
"9";"HELICONIINI";"MAMERCUS.HELICO";4;6;0,973;0,89;0,841;NA
"10";"HELICONIINI";"ACTINOTE.HELICO";3;3;0,971;0,893;0,722;NA
"11";"HELICONIINI";"BLOODY.HELICO";4;6;0,752;0,887;0,082;NA
"12";"HELICONIINI";"POSTMAN.REVERSE.HELICO";7;21;0,93;0,891;0,743;NA
"13";"HELICONIINI";"HALF.DENNIS.HELICO";8;28;0,425;0,891;0,001;"***"
"14";"HELICONIINI";"BLUE.MASK.HELICO";9;36;0,67;0,89;0,003;"**"
"15";"HELICONIINI";"GREEK.HELICO";4;6;0,904;0,892;0,47;NA
"16";"HELICONIINI";"ZEBRA.HELICO";5;10;0,929;0,888;0,642;NA
"17";"HELICONIINI";"POSTMAN.HELICO";4;6;0,81;0,886;0,164;NA
"18";"HELICONIINI";"HOLZMINDEN.HELICO";5;10;0,769;0,891;0,056;NA
"19";"HELICONIINI";"ST.ANDREW.HELICO";2;1;0,438;0,889;0,03;"*"
"20";"HELICONIINI";"ELZUNIA.HELICO";2;1;0,43;0,887;0,029;"*"
"21";"HELICONIINI";"RED.BAND.HELICO";3;3;0,724;0,885;0,08;NA
"22";"HELICONIINI";"CHESTERTONII.HELICO";1;0;NA;NA;NA;NA
"23";"HELICONIINI";"CYRBIA.HELICO";2;1;0,17;0,898;0,002;"**"
"24";"HELICONIINI";"CLEA.HELICO";2;1;0,395;0,891;0,027;"*"
"25";"HELICONIINI";"EYES.HELICO";2;1;0,182;0,881;0,002;"**"
"26";"HELICONIINI";"VENUS.HELICO";2;1;0,264;0,888;0,006;"**"
"27";"HELICONIINI";"IDAE.HELICO";4;6;0,883;0,888;0,402;NA
"28";"HELICONIINI";"HECALESIA.HELICO";1;0;NA;NA;NA;NA
"29";"HELICONIINI";"POMELO.HELICO";2;1;1;0,892;1;NA
"30";"HELICONIINI";"HERMATHENA.HELICO";1;0;NA;NA;NA;NA
