"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"AGRAULIS";5;10;0,867;0,885;0,703;0,992;0,338
"2";"DRYAS";5;10;0,515;0,889;0,706;0,996;0,001
"3";"EUEIDES";4;6;0,889;0,888;0,664;0,999;0,404
"4";"DENNIS.RAY";18;153;0,719;0,891;0,818;0,943;0,001
"5";"HERMIAS";6;15;0,733;0,892;0,76;0,98;0,014
"6";"MANTINEUS";3;3;0,71;0,891;0,629;1;0,056
"7";"ORESTES";5;10;0,652;0,894;0,724;0,99;0,007
"8";"BENGAL";6;15;0,768;0,893;0,746;0,981;0,048
"9";"MAMERCUS";4;6;0,973;0,894;0,67;1;0,813
"10";"ACTINOTE";3;3;0,971;0,889;0,603;1;0,717
"11";"BLOODY";4;6;0,75;0,891;0,672;0,999;0,068
"12";"POSTMAN.REVERSE";7;21;0,93;0,896;0,757;0,975;0,693
"13";"HALF.DENNIS";8;28;0,425;0,892;0,768;0,971;0,001
"14";"BLUE.MASK";9;36;0,67;0,889;0,767;0,961;0,003
"15";"GREEK";4;6;0,905;0,891;0,643;0,999;0,458
"16";"ZEBRA";5;10;0,938;0,89;0,721;0,99;0,741
"17";"POSTMAN";4;6;0,81;0,893;0,68;1;0,165
"18";"HOLZMINDEN";5;10;0,77;0,891;0,723;0,987;0,057
"19";"ST.ANDREW";2;1;0,437;0,891;0,393;1;0,029
"20";"ELZUNIA";2;1;0,43;0,889;0,379;1;0,035
"21";"RED.BAND";3;3;0,724;0,894;0,607;1;0,076
"22";"CHESTERTONII";1;0;NA;NA;NA;NA;NA
"23";"CYRBIA";2;1;0,172;0,883;0,417;1;0,003
"24";"CLEA";2;1;0,395;0,897;0,434;1;0,021
"25";"EYES";2;1;0,182;0,885;0,354;1;0,003
"26";"VENUS";2;1;0,263;0,883;0,373;1;0,009
"27";"IDAE";4;6;0,881;0,884;0,671;0,997;0,4
"28";"HECALESIA";1;0;NA;NA;NA;NA;NA
"29";"POMELO";2;1;1;0,885;0,372;1;1
"30";"HERMATHENA";1;0;NA;NA;NA;NA;NA
"31";"HEURIPPA";1;0;NA;NA;NA;NA;NA
"32";"PACHINUS";2;1;0,277;0,893;0,427;1;0,005
"33";"MOTHONE";1;0;NA;NA;NA;NA;NA
"34";"MAELUS";2;1;0,997;0,88;0,353;1;0,608
"35";"AILURUS";1;0;NA;NA;NA;NA;NA
"36";"CRETACEA";1;0;NA;NA;NA;NA;NA
"37";"TELESIPHE";2;1;0,148;0,89;0,395;1;0,002
"38";"PHILAETHRIA";6;15;0,897;0,894;0,747;0,98;0,441
"39";"JUDITH";1;0;NA;NA;NA;NA;NA
