"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"VANILLAE_largo";13;78;0,796;0,77;0,702;0,827;0,763
"2";"RICINI_largo";23;253;0,781;0,814;0,782;0,845;0,023
"3";"MAMERCUS_largo";8;28;0,761;0,796;0,754;0,836;0,051
"4";"LYSIMNIA_largo";3;3;0,71;0,728;0,513;0,89;0,395
"5";"ORESTES_largo";6;15;0,61;0,739;0,601;0,849;0,033
"6";"PAVANA_largo";3;3;0,971;0,729;0,339;0,971;0,974
"7";"EXCELSA_largo";4;6;0,679;0,73;0,517;0,878;0,267
"8";"WALLACEI_largo";9;36;0,67;0,755;0,664;0,832;0,031
"9";"CYDNIDES_largo";7;21;0,755;0,735;0,566;0,856;0,573
"10";"ELZUNIA_largo";5;10;0,799;0,733;0,539;0,874;0,773
"11";"POSTMAN_superlargo";7;21;0,886;0,768;0,697;0,829;1
"12";"CHARITHONIA_largo";1;0;NA;NA;NA;NA;NA
"13";"LEUCE_largo";5;10;0,77;0,734;0,557;0,873;0,656
"14";"CHESTERTONII_largo";1;0;NA;NA;NA;NA;NA
"15";"XENOCLEA_largo";2;1;0,395;0,712;0,209;1;0,173
"16";"NOTABILIS_largo";2;1;0,182;0,693;0,204;1;0,013
"17";"HEURIPPA_largo";1;0;NA;NA;NA;NA;NA
"18";"EURIMEDIA_largo";1;0;NA;NA;NA;NA;NA
"19";"DIDO_largo";6;15;0,897;0,733;0,503;0,889;0,984
"20";"DERCYLLIDAS_largo";1;0;NA;NA;NA;NA;NA
"21";NA;NA;NA;NA;NA;NA;NA;NA
"22";NA;NA;NA;NA;NA;NA;NA;NA
"23";NA;NA;NA;NA;NA;NA;NA;NA
"24";NA;NA;NA;NA;NA;NA;NA;NA
"25";NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA
"31";NA;NA;NA;NA;NA;NA;NA;NA
"32";NA;NA;NA;NA;NA;NA;NA;NA
"33";NA;NA;NA;NA;NA;NA;NA;NA
"34";NA;NA;NA;NA;NA;NA;NA;NA
"35";NA;NA;NA;NA;NA;NA;NA;NA
"36";NA;NA;NA;NA;NA;NA;NA;NA
"37";NA;NA;NA;NA;NA;NA;NA;NA
"38";NA;NA;NA;NA;NA;NA;NA;NA
"39";NA;NA;NA;NA;NA;NA;NA;NA
