"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"VANILLAE";5;10;0,843;0,8;0,684;0,888;0,79
"2";"IULIA";4;6;0,297;0,8;0,689;0,885;0,001
"3";"LYBIA";5;10;0,93;0,795;0,649;0,908;0,995
"4";"THELXIOPE";17;136;0,686;0,837;0,806;0,866;0,001
"5";"HERMIAS";7;21;0,835;0,809;0,738;0,872;0,777
"6";"LYSIMNIA";3;3;0,71;0,79;0,609;0,905;0,14
"7";"ORESTES";6;15;0,611;0,797;0,659;0,891;0,008
"8";"MAMERCUS";7;21;0,811;0,816;0,76;0,864;0,412
"9";"PAVANA";3;3;0,971;0,792;0,477;0,976;0,969
"10";"EXCELSA";4;6;0,679;0,797;0,639;0,916;0,059
"11";"RICINI";7;21;0,93;0,799;0,643;0,908;0,995
"12";"AMALFREDA";10;45;0,636;0,801;0,689;0,885;0,004
"13";"WALLACEI";9;36;0,67;0,809;0,727;0,87;0,003
"14";"SALVINII";2;1;1;0,785;0,274;1;1
"15";"PAVONII";3;3;0,746;0,79;0,529;0,959;0,309
"16";"PHYLLIS";4;6;0,81;0,796;0,668;0,896;0,553
"17";"CHARITHONIA";1;0;NA;NA;NA;NA;NA
"18";"LEUCE";4;6;0,789;0,794;0,609;0,923;0,438
"19";"CYDNIDES";2;1;0,605;0,793;0,565;0,943;0,047
"20";"CHIONEUS";2;1;0,437;0,79;0,503;0,943;0,009
"21";"CORDULA";3;3;0,999;0,789;0,402;0,997;0,985
"22";"HUMBOLDT";2;1;0,411;0,795;0,514;0,955;0,007
"23";"HYDARA";3;3;0,716;0,801;0,689;0,89;0,073
"24";"CHESTERTONII";1;0;NA;NA;NA;NA;NA
"25";"CYRBIA";2;1;0,172;0,792;0,298;1;0,003
"26";"XENOCLEA";2;1;0,395;0,79;0,262;1;0,081
"27";"NOTABILIS";2;1;0,182;0,793;0,245;1;0,007
"28";"MAELUS";3;3;0,661;0,796;0,613;0,916;0,066
"29";"LONGARENA";1;0;NA;NA;NA;NA;NA
"30";"HERMATHENA";1;0;NA;NA;NA;NA;NA
"31";"HEURIPPA";1;0;NA;NA;NA;NA;NA
"32";"PACHINUS";3;3;0,251;0,788;0,362;0,997;0,011
"33";"EURIMEDIA";1;0;NA;NA;NA;NA;NA
"34";"MOTHONE";1;0;NA;NA;NA;NA;NA
"35";"CRETACEA";1;0;NA;NA;NA;NA;NA
"36";"TELESIPHE";2;1;0,148;0,788;0,426;0,977;0,001
"37";"DIDO";6;15;0,897;0,795;0,621;0,911;0,942
"38";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA
"39";NA;NA;NA;NA;NA;NA;NA;NA
