"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"VANILLAE_largo";43;903;0,953;0,955;0,934;0,972;0,407
"2";"RICINI_largo";122;7381;0,929;0,955;0,943;0,964;0,001
"3";"MAMERCUS_largo";86;3655;0,955;0,955;0,94;0,967;0,526
"4";"LYSIMNIA_largo";9;36;0,899;0,954;0,886;0,994;0,052
"5";"ORESTES_largo";18;153;0,816;0,954;0,914;0,982;0,001
"6";"PAVANA_largo";4;6;0,978;0,958;0,821;1;0,507
"7";"EXCELSA_largo";11;55;0,889;0,953;0,888;0,991;0,027
"8";"WALLACEI_largo";31;465;0,915;0,954;0,925;0,976;0,008
"9";"CYDNIDES_largo";16;120;0,861;0,955;0,908;0,983;0,001
"10";"ELZUNIA_largo";11;55;0,856;0,955;0,897;0,989;0,002
"11";"POSTMAN_superlargo";42;861;0,964;0,955;0,933;0,971;0,799
"12";"CHARITHONIA_largo";8;28;0,994;0,956;0,881;0,998;0,948
"13";"LEUCE_largo";12;66;0,92;0,955;0,903;0,991;0,083
"14";"CHESTERTONII_largo";1;0;NA;NA;NA;NA;NA
"15";"XENOCLEA_largo";2;1;0,395;0,955;0,55;1;0,006
"16";"NOTABILIS_largo";2;1;0,182;0,95;0,538;1;0,001
"17";"HEURIPPA_largo";1;0;NA;NA;NA;NA;NA
"18";"EURIMEDIA_largo";1;0;NA;NA;NA;NA;NA
"19";"DIDO_largo";10;45;0,953;0,954;0,891;0,992;0,397
"20";"DERCYLLIDAS_largo";4;6;0,899;0,957;0,811;1;0,127
"21";NA;NA;NA;NA;NA;NA;NA;NA
"22";NA;NA;NA;NA;NA;NA;NA;NA
"23";NA;NA;NA;NA;NA;NA;NA;NA
"24";NA;NA;NA;NA;NA;NA;NA;NA
"25";NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA
"31";NA;NA;NA;NA;NA;NA;NA;NA
"32";NA;NA;NA;NA;NA;NA;NA;NA
"33";NA;NA;NA;NA;NA;NA;NA;NA
"34";NA;NA;NA;NA;NA;NA;NA;NA
"35";NA;NA;NA;NA;NA;NA;NA;NA
"36";NA;NA;NA;NA;NA;NA;NA;NA
"37";NA;NA;NA;NA;NA;NA;NA;NA
"38";NA;NA;NA;NA;NA;NA;NA;NA
"39";NA;NA;NA;NA;NA;NA;NA;NA
