"";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD";"MCD_2.5";"MCD_97.5";"p_value";"pattern"
"1";"ACTINOTE";3;3;0,676;0,972;0,333;1,745;0,219;"convergence"
"2";"AGRAULIS";4;6;0,752;0,996;0,494;1,706;0,239;"convergence"
"3";"AILURUS";1;0;NA;NA;NA;NA;NA;NA
"4";"BENGAL";6;15;0,602;0,998;0,606;1,43;0,024;"convergence"
"5";"BLOODY";4;6;1,623;1,034;0,457;1,687;0,04;"divergence"
"6";"BLUE.MASK";9;36;0,689;0,999;0,636;1,43;0,048;"convergence"
"7";"CHESTERTONII";1;0;NA;NA;NA;NA;NA;NA
"8";"CLEA";2;1;0,053;0,978;0,165;2,166;0,004;"convergence"
"9";"CRETACEA";1;0;NA;NA;NA;NA;NA;NA
"10";"CYRBIA";2;1;0,223;0,977;0,159;2,162;0,051;"convergence"
"11";"DENNIS.RAY";16;120;0,585;1,007;0,766;1,241;0,001;"convergence"
"12";"DRYAS";5;10;0,336;1,089;0,597;1,718;0,001;"convergence"
"13";"ELZUNIA";2;1;0,929;0,991;0,167;2,259;0,5;"convergence"
"14";"EUEIDES";2;1;0,613;0,985;0,188;2,233;0,267;"convergence"
"15";"EYES";2;1;0,427;0,978;0,142;2,127;0,153;"convergence"
"16";"GREEK";4;6;0,892;0,98;0,462;1,587;0,425;"convergence"
"17";"HALF.DENNIS";8;28;0,226;1,002;0,636;1,334;0,001;"convergence"
"18";"HECALESIA";1;0;NA;NA;NA;NA;NA;NA
"19";"HERMATHENA";1;0;NA;NA;NA;NA;NA;NA
"20";"HERMIAS";6;15;0,534;0,97;0,596;1,376;0,012;"convergence"
"21";"HEURIPPA";1;0;NA;NA;NA;NA;NA;NA
"22";"HOLZMINDEN";5;10;1,101;0,982;0,529;1,499;0,313;"divergence"
"23";"IDAE";4;6;0,803;0,938;0,439;1,486;0,326;"convergence"
"24";"MAELUS";2;1;0,42;0,939;0,157;2,05;0,144;"convergence"
"25";"MAMERCUS";4;6;1,353;0,989;0,49;1,636;0,118;"divergence"
"26";"MANTINEUS";3;3;0,549;1,012;0,341;1,836;0,103;"convergence"
"27";"MOTHONE";1;0;NA;NA;NA;NA;NA;NA
"28";"ORESTES";5;10;0,633;1,014;0,553;1,503;0,054;"convergence"
"29";"PACHINUS";2;1;0,291;0,991;0,173;2,245;0,061;"convergence"
"30";"PHILAETHRIA";5;10;0,747;0,952;0,505;1,49;0,221;"convergence"
"31";"POMELO";2;1;1,19;1,005;0,179;2,239;0,329;"divergence"
"32";"POSTMAN";4;6;0,695;0,95;0,426;1,512;0,198;"convergence"
"33";"POSTMAN.REVERSE";7;21;1,141;1,016;0,596;1,491;0,274;"divergence"
"34";"RED.BAND";3;3;0,261;0,962;0,351;1,684;0,008;"convergence"
"35";"ST.ANDREW";2;1;0,336;1,05;0,194;2,458;0,079;"convergence"
"36";"TELESIPHE";2;1;0,097;1,173;0,191;2,584;0,005;"convergence"
"37";"VENUS";2;1;0,853;0,976;0,152;2,163;0,452;"convergence"
"38";"ZEBRA";5;10;1,127;1,007;0,523;1,584;0,306;"divergence"
