"";"tribe";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD_simul";"p_value";"Signif"
"1";"HELICONIINI";"ACTINOTE.HELICO";3;3;2,868;3,341;0,369;NA
"2";"HELICONIINI";"AGRAULIS.HELICO";5;10;3,253;3,605;0,385;NA
"3";"HELICONIINI";"AILURUS.HELICO";1;0;NA;NA;NA;NA
"4";"HELICONIINI";"BENGAL.HELICO";6;15;2,509;3,666;0,101;NA
"5";"HELICONIINI";"BLOODY.HELICO";4;6;7,499;3,933;0,999;NA
"6";"HELICONIINI";"BLUE.MASK.HELICO";9;36;3,052;3,616;0,21;NA
"7";"HELICONIINI";"CHESTERTONII.HELICO";1;0;NA;NA;NA;NA
"8";"HELICONIINI";"CLEA.HELICO";2;1;0,244;3,816;0,006;"**"
"9";"HELICONIINI";"CRETACEA.HELICO";1;0;NA;NA;NA;NA
"10";"HELICONIINI";"CYRBIA.HELICO";2;1;1,038;3,814;0,062;NA
"11";"HELICONIINI";"DENNIS.RAY.HELICO";18;153;2,398;3,803;0,003;"**"
"12";"HELICONIINI";"DRYAS.HELICO";5;10;1,462;4,325;0,003;"**"
"13";"HELICONIINI";"ELZUNIA.HELICO";2;1;4,117;3,671;0,638;NA
"14";"HELICONIINI";"EUEIDES.HELICO";4;6;2,899;3,651;0,381;NA
"15";"HELICONIINI";"EYES.HELICO";2;1;1,989;3,811;0,189;NA
"16";"HELICONIINI";"GREEK.HELICO";4;6;4,062;3,506;0,717;NA
"17";"HELICONIINI";"HALF.DENNIS.HELICO";8;28;1,012;3,766;0,001;"***"
"18";"HELICONIINI";"HECALESIA.HELICO";1;0;NA;NA;NA;NA
"19";"HELICONIINI";"HERMATHENA.HELICO";1;0;NA;NA;NA;NA
"20";"HELICONIINI";"HERMIAS.HELICO";6;15;2,415;3,512;0,09;NA
"21";"HELICONIINI";"HEURIPPA.HELICO";1;0;NA;NA;NA;NA
"22";"HELICONIINI";"HOLZMINDEN.HELICO";5;10;4,874;3,552;0,916;NA
"23";"HELICONIINI";"IDAE.HELICO";4;6;3,432;3,236;0,591;NA
"24";"HELICONIINI";"MAELUS.HELICO";2;1;1,571;3,2;0,163;NA
"25";"HELICONIINI";"MAMERCUS.HELICO";4;6;5,713;3,59;0,957;NA
"26";"HELICONIINI";"MANTINEUS.HELICO";3;3;1,994;3,829;0,088;NA
"27";"HELICONIINI";"MOTHONE.HELICO";1;0;NA;NA;NA;NA
"28";"HELICONIINI";"ORESTES.HELICO";5;10;2,761;3,746;0,168;NA
"29";"HELICONIINI";"PACHINUS.HELICO";2;1;1,274;3,787;0,088;NA
"30";"HELICONIINI";"PHILAETHRIA.HELICO";6;15;3,124;3,312;0,426;NA
"31";"HELICONIINI";"POMELO.HELICO";2;1;5,033;3,77;0,755;NA
"32";"HELICONIINI";"POSTMAN.HELICO";4;6;3,182;3,524;0,412;NA
"33";"HELICONIINI";"POSTMAN.REVERSE.HELICO";7;21;4,898;3,809;0,913;NA
"34";"HELICONIINI";"RED.BAND.HELICO";3;3;1,103;3,628;0,016;"*"
