"";"tribe";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD_simul";"p_value";"Signif"
"1";"Heliconiini";"AMALFREDA";9;36;0,339;0,996;0,001;"***"
"2";"Heliconiini";"CHARITHONIA";1;0;NA;NA;NA;NA
"3";"Heliconiini";"CHESTERTONII";1;0;NA;NA;NA;NA
"4";"Heliconiini";"CHIONEUS";2;1;0,252;0,966;0,044;"*"
"5";"Heliconiini";"CORDULA";3;3;1,641;0,921;0,971;NA
"6";"Heliconiini";"CRETACEA";1;0;NA;NA;NA;NA
"7";"Heliconiini";"CYDNIDES";2;1;0,78;1,149;0,306;NA
"8";"Heliconiini";"CYRBIA";2;1;0,284;1,153;0,041;"*"
"9";"Heliconiini";"DIDO";5;10;0,78;0,757;0,558;NA
"10";"Heliconiini";"EURIMEDIA";1;0;NA;NA;NA;NA
"11";"Heliconiini";"EXCELSA";4;6;1,908;1,035;0,994;NA
"12";"Heliconiini";"HERMATHENA";1;0;NA;NA;NA;NA
"13";"Heliconiini";"HERMIAS";7;21;0,62;1,088;0,015;"*"
"14";"Heliconiini";"HEURIPPA";1;0;NA;NA;NA;NA
"15";"Heliconiini";"HUMBOLDT";2;1;1,177;1,004;0,661;NA
"16";"Heliconiini";"HYDARA";3;3;0,385;1,081;0,021;"*"
"17";"Heliconiini";"IULIA";4;6;0,3;1,049;0,003;"**"
"18";"Heliconiini";"LEUCE";4;6;0,827;1,042;0,257;NA
"19";"Heliconiini";"LONGARENA";1;0;NA;NA;NA;NA
"20";"Heliconiini";"LYBIA";3;3;0,896;0,858;0,575;NA
"21";"Heliconiini";"LYSIMNIA";3;3;0,366;0,984;0,027;"*"
"22";"Heliconiini";"MAELUS";3;3;0,807;0,842;0,479;NA
"23";"Heliconiini";"MAMERCUS";7;21;1,079;1,084;0,519;NA
"24";"Heliconiini";"MOTHONE";1;0;NA;NA;NA;NA
"25";"Heliconiini";"NOTABILIS";2;1;0,503;1,196;0,115;NA
"26";"Heliconiini";"ORESTES";6;15;0,522;1,085;0,002;"**"
"27";"Heliconiini";"PACHINUS";3;3;0,245;0,814;0,013;"*"
"28";"Heliconiini";"PAVANA";3;3;0,644;0,823;0,297;NA
"29";"Heliconiini";"PAVONII";3;3;1,713;0,915;0,978;NA
"30";"Heliconiini";"PHYLLIS";4;6;0,873;0,972;0,394;NA
"31";"Heliconiini";"RICINI";7;21;1,245;0,883;0,974;NA
"32";"Heliconiini";"SALVINII";2;1;1,438;0,945;0,844;NA
"33";"Heliconiini";"TELESIPHE";2;1;0,112;1,052;0,011;"*"
"34";"Heliconiini";"THELXIOPE";16;120;0,532;0,963;0,001;"***"
"35";"Heliconiini";"VANILLAE";4;6;0,904;0,886;0,56;NA
"36";"Heliconiini";"WALLACEI";9;36;0,749;0,853;0,253;NA
"37";"Heliconiini";"XENOCLEA";2;1;0,057;1,176;0,002;"**"
"38";"Ithomiini";"ACRISIONE";1;0;NA;NA;NA;NA
"39";"Ithomiini";"AGNOSIA";74;2701;0,702;0,956;0,001;"***"
"40";"Ithomiini";"AMALDA";9;36;0,704;0,95;0,082;NA
"41";"Ithomiini";"AURELIANA";12;66;0,526;1,042;0,002;"**"
"42";"Ithomiini";"BANJANAM";43;903;0,781;0,989;0,004;"**"
"43";"Ithomiini";"CONFUSA";19;171;0,762;0,941;0,061;NA
"44";"Ithomiini";"DERCYLLIDAS";1;0;NA;NA;NA;NA
"45";"Ithomiini";"DILUCIDA";35;595;0,619;1,004;0,001;"***"
"46";"Ithomiini";"DOTO";12;66;0,522;1,042;0,001;"***"
"47";"Ithomiini";"DUESSA";3;3;0,914;0,984;0,457;NA
"48";"Ithomiini";"DUILLIA";3;3;0,194;0,754;0,008;"**"
"49";"Ithomiini";"EGRA";10;45;0,225;1,02;0,001;"***"
"50";"Ithomiini";"EURIMEDIA";33;528;0,872;0,938;0,236;NA
"51";"Ithomiini";"EXCELSA";17;136;0,495;1,019;0,001;"***"
"52";"Ithomiini";"HEMIXANTHE";5;10;0,346;1,064;0,001;"***"
"53";"Ithomiini";"HERMIAS";47;1081;0,764;1,008;0,002;"**"
"54";"Ithomiini";"HEWITSONI";27;351;0,562;0,969;0,001;"***"
"55";"Ithomiini";"HUMBOLDT";1;0;NA;NA;NA;NA
"56";"Ithomiini";"ILLINISSA";6;15;0,279;1,047;0,001;"***"
"57";"Ithomiini";"LERIDA";63;1953;0,811;0,954;0,017;"*"
"58";"Ithomiini";"LIBETHRIS";20;190;0,661;0,939;0,004;"**"
"59";"Ithomiini";"LYSIMNIA";4;6;0,24;1,025;0,001;"***"
"60";"Ithomiini";"MAELUS";15;105;0,45;1,04;0,001;"***"
"61";"Ithomiini";"MAMERCUS";56;1540;0,79;1,04;0,001;"***"
"62";"Ithomiini";"MANTINEUS";5;10;0,907;0,988;0,41;NA
"63";"Ithomiini";"MESTRA";14;91;0,443;0,982;0,001;"***"
"64";"Ithomiini";"MOTHONE";12;66;0,623;1,038;0,005;"**"
"65";"Ithomiini";"OCNA";13;78;0,886;0,944;0,349;NA
"66";"Ithomiini";"ORESTES";15;105;0,36;1,047;0,001;"***"
"67";"Ithomiini";"OZIA";16;120;0,81;0,942;0,145;NA
"68";"Ithomiini";"PANTHYALE";38;703;0,696;1,001;0,001;"***"
"69";"Ithomiini";"PARALLELIS";7;21;0,484;1,052;0,001;"***"
"70";"Ithomiini";"PAVONII";2;1;1,341;0,776;0,904;NA
"71";"Ithomiini";"POLITA";9;36;0,645;0,966;0,034;"*"
"72";"Ithomiini";"PRAESTANS";1;0;NA;NA;NA;NA
"73";"Ithomiini";"PRAXILLA";9;36;0,359;0,915;0,001;"***"
"74";"Ithomiini";"QUINTINA";6;15;0,391;1,035;0,002;"**"
"75";"Ithomiini";"SINILIA";8;28;0,558;1,037;0,006;"**"
"76";"Ithomiini";"SUSIANA";18;153;0,656;0,95;0,006;"**"
"77";"Ithomiini";"THABENAF";10;45;0,593;0,978;0,007;"**"
"78";"Ithomiini";"THEUDELINDA";8;28;0,249;1,075;0,001;"***"
"79";"Ithomiini";"TICIDAM";8;28;0,228;0,987;0,001;"***"
"80";"Ithomiini";"UMBROSA";3;3;0,482;0,86;0,128;NA
"81";"Ithomiini";"VESTILLA";1;0;NA;NA;NA;NA
"82";"Inter-tribe";"EURIMEDIA";34;33;0,679;0,952;0,109;NA
"83";"Inter-tribe";"EXCELSA";21;68;1,036;1,003;0,609;NA
"84";"Inter-tribe";"HERMIAS";54;329;0,647;1,023;0,001;"***"
"85";"Inter-tribe";"HUMBOLDT";3;2;0,561;0,989;0,136;NA
"86";"Inter-tribe";"LYSIMNIA";7;12;0,341;0,984;0,001;"***"
"87";"Inter-tribe";"MAELUS";18;45;0,525;0,985;0,001;"***"
"88";"Inter-tribe";"MAMERCUS";63;392;0,837;1,031;0,05;"*"
"89";"Inter-tribe";"MOTHONE";13;12;0,448;0,996;0,003;"**"
"90";"Inter-tribe";"ORESTES";21;90;0,471;1,034;0,001;"***"
"91";"Inter-tribe";"PAVONII";5;6;1,09;0,96;0,702;NA
