"";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD";"MCD_2.5";"MCD_97.5";"p_value";"pattern"
"1";"CHARITHONIA_largo";1;0;NA;NA;NA;NA;NA;NA
"2";"CHESTERTONII_largo";1;0;NA;NA;NA;NA;NA;NA
"3";"CYDNIDES_largo";7;21;0,561;0,977;0,581;1,371;0,017;"convergence"
"4";"DIDO_largo";5;10;0,835;0,841;0,449;1,315;0,506;"convergence"
"5";"ELZUNIA_largo";5;10;1,465;0,932;0,476;1,437;0,018;"divergence"
"6";"EURIMEDIA_largo";1;0;NA;NA;NA;NA;NA;NA
"7";"EXCELSA_largo";4;6;1,809;1,084;0,504;1,812;0,026;"divergence"
"8";"HEURIPPA_largo";1;0;NA;NA;NA;NA;NA;NA
"9";"LEUCE_largo";5;10;1,313;1,06;0,545;1,626;0,181;"divergence"
"10";"LYSIMNIA_largo";3;3;0,444;0,936;0,331;1,614;0,056;"convergence"
"11";"MAMERCUS_largo";8;28;0,831;0,987;0,627;1,37;0,208;"convergence"
"12";"NOTABILIS_largo";2;1;0,477;1,306;0,23;2,85;0,096;"convergence"
"13";"ORESTES_largo";6;15;0,461;0,965;0,543;1,388;0,007;"convergence"
"14";"PAVANA_largo";3;3;0,606;0,857;0,306;1,512;0,234;"convergence"
"15";"POSTMAN_superlargo";7;21;1,085;1,079;0,664;1,522;0,496;"divergence"
"16";"RICINI_largo";21;210;0,854;0,96;0,762;1,149;0,167;"convergence"
"17";"VANILLAE_largo";10;45;1,043;0,967;0,634;1,317;0,317;"divergence"
"18";"WALLACEI_largo";9;36;0,68;0,916;0,626;1,241;0,065;"convergence"
"19";"XENOCLEA_largo";2;1;0,051;1,323;0,245;2,737;0,001;"convergence"
