"";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD";"MCD_2.5";"MCD_97.5";"p_value";"pattern"
"1";"AMALFREDA";9;36;0,311;0,989;0,654;1,324;0,001;"convergence"
"2";"CHARITHONIA";1;0;NA;NA;NA;NA;NA;NA
"3";"CHESTERTONII";1;0;NA;NA;NA;NA;NA;NA
"4";"CHIONEUS";2;1;0,199;0,997;0,196;2,21;0,027;"convergence"
"5";"CORDULA";3;3;1,756;1,001;0,312;1,806;0,035;"divergence"
"6";"CRETACEA";1;0;NA;NA;NA;NA;NA;NA
"7";"CYDNIDES";2;1;0,665;1,092;0,164;2,416;0,253;"convergence"
"8";"CYRBIA";2;1;0,252;1,196;0,268;2,639;0,024;"convergence"
"9";"DIDO";5;10;0,845;0,801;0,429;1,273;0,404;"divergence"
"10";"EURIMEDIA";1;0;NA;NA;NA;NA;NA;NA
"11";"EXCELSA";4;6;1,832;1,07;0,509;1,733;0,011;"divergence"
"12";"HERMATHENA";1;0;NA;NA;NA;NA;NA;NA
"13";"HERMIAS";7;21;0,596;1,105;0,661;1,601;0,01;"convergence"
"14";"HEURIPPA";1;0;NA;NA;NA;NA;NA;NA
"15";"HUMBOLDT";2;1;1,162;1,056;0,181;2,447;0,382;"divergence"
"16";"HYDARA";3;3;0,379;1,098;0,4;1,974;0,021;"convergence"
"17";"IULIA";4;6;0,309;1,024;0,456;1,774;0,002;"convergence"
"18";"LEUCE";4;6;0,815;1,115;0,509;1,793;0,172;"convergence"
"19";"LONGARENA";1;0;NA;NA;NA;NA;NA;NA
"20";"LYBIA";3;3;0,978;0,852;0,336;1,567;0,309;"divergence"
"21";"LYSIMNIA";3;3;0,449;0,97;0,35;1,755;0,064;"convergence"
"22";"MAELUS";3;3;0,898;0,911;0,333;1,629;0,526;"convergence"
"23";"MAMERCUS";7;21;1,118;1,108;0,686;1,567;0,46;"divergence"
"24";"MOTHONE";1;0;NA;NA;NA;NA;NA;NA
"25";"NOTABILIS";2;1;0,483;1,202;0,213;2,633;0,119;"convergence"
"26";"ORESTES";6;15;0,536;1,09;0,624;1,578;0,01;"convergence"
"27";"PACHINUS";3;3;0,242;0,864;0,308;1,598;0,008;"convergence"
"28";"PAVANA";3;3;0,613;0,828;0,289;1,474;0,259;"convergence"
"29";"PAVONII";3;3;1,593;0,931;0,305;1,712;0,046;"divergence"
"30";"PHYLLIS";4;6;0,808;1,019;0,429;1,716;0,245;"convergence"
"31";"RICINI";7;21;1,24;0,871;0,521;1,274;0,038;"divergence"
"32";"SALVINII";2;1;1,354;0,942;0,192;2,181;0,204;"divergence"
"33";"TELESIPHE";2;1;0,113;1,036;0,17;2,427;0,013;"convergence"
"34";"THELXIOPE";16;120;0,55;0,946;0,728;1,176;0,001;"convergence"
"35";"VANILLAE";4;6;0,87;0,933;0,435;1,592;0,441;"convergence"
"36";"WALLACEI";9;36;0,689;0,882;0,585;1,207;0,124;"convergence"
"37";"XENOCLEA";2;1;0,051;1,208;0,202;2,636;0,002;"convergence"
